#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-29T15:41:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61f55e983eb8ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:B/gcvs&tab:{B/gcvs/gcvs_cat}&key:source=B/gcvs/gcvs_cat&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/gcvs/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#-out=magMax
#magMax=<14.2
#-out=Epoch
#-out=Period
#Period=<3
#-out=SpType
#-out=Exists
#-out=VarName
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_102025
#Name: B/gcvs
#Title: General Catalogue of Variable Stars (Samus+, 2007-2017)
#Table	B_gcvs_gcvs_cat:
#Name: B/gcvs/gcvs_cat
#Title: GCVS catalog (GCVS 5.1, version Oct, 2020)
#Column	GCVS	(A10)	Variable star designation (2)	[ucd=meta.id;meta.main]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A11)	? Hours RA, equinox J2000.0 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degrees Dec, equinox J2000.0 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Epoch	(F11.5)	? Epoch for maximum light, Julian days (G5)	[ucd=time.epoch]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	Spectral type	[ucd=src.spType]
#Column	Exists	(A12)	Cases of non-existence of the variable etc. (12)	[ucd=meta.note]
#Column	VarName	(A11)	Variable star designation (17)	[ucd=meta.id]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Epoch|Period|SpType|Exists|VarName
V1056 Sgr |*|19 00 50.13|-14 06 06.5|EB        |13.900|27364.23600|    0.9190621000|                 |            |V1056 Sgr
V1062 Sgr | |19 02 19.94|-20 38 14.7|EA/SD     |14.100|26507.44600|    0.9879127000|                 |            |V1062 Sgr
V1069 Sgr |*|19 03 49.24|-21 01 39.8|RRAB      |12.900|26507.43300|    0.4789412000|                 |            |V1069 Sgr
V1071 Sgr |*|19 04 02.96|-22 28 31.3|EA        |13.200|27360.26700|    0.6780498000|                 |            |V1071 Sgr
V1074 Sgr |x|19 05 23.68|-18 47 06.8|EA/SD     |12.700|26529.47000|    2.4057340000|F4III            |            |V1074 Sgr
V1075 Sgr | |19 05 32.64|-20 03 25.6|RRAB      |13.800|26572.31000|    0.4669058000|                 |            |V1075 Sgr
V1081 Sgr |*|19 07 00.22|-18 44 22.5|RRAB      |13.500|26572.29500|    0.5633692000|                 |            |V1081 Sgr
V1086 Sgr | |19 08 17.47|-16 16 38.8|RRAB      |14.100|26567.33600|    0.5353675000|                 |            |V1086 Sgr
V1093 Sgr |x|19 09 41.00|-19 38 01.3|RRAB      |13.100|26571.31400|    0.6389498000|                 |            |V1093 Sgr
V1094 Sgr | |19 09 44.04|-18 46 16.8|RRAB      |13.600|27364.26500|    0.5660240000|                 |            |V1094 Sgr
V1095 Sgr |x|19 10 10.60|-20 50 44.6|EA/SD     |13.500|26571.29400|    2.4652040000|                 |            |V1095 Sgr
V1099 Sgr | |19 11 25.86|-22 15 45.7|RRAB      |13.900|27360.27000|    0.6176183000|                 |            |V1099 Sgr
V1115 Sgr | |19 14 53.93|-18 24 51.1|RRAB      |13.900|26571.33700|    0.3774694000|                 |            |V1115 Sgr
V1118 Sgr |x|19 15 28.88|-22 06 17.6|RRAB      |13.900|26572.31900|    0.4070440000|                 |            |V1118 Sgr
V1122 Sgr | |19 16 41.74|-16 32 55.6|RRAB      |13.900|26567.33500|    0.4775605000|                 |            |V1122 Sgr
V1125 Sgr |x|19 17 33.40|-21 46 02.5|RRAB      |13.800|26568.30800|    0.3867145000|                 |            |V1125 Sgr
V1130 Sgr |x|19 20 32.50|-20 32 20.3|RRAB      |11.900|27360.24600|    0.5680605000|                 |            |V1130 Sgr
V1133 Sgr |x|19 21 06.97|-14 25 03.0|EA        |13.200|27334.29400|    0.8053028000|                 |            |V1133 Sgr
V1136 Sgr |*|19 22 34.22|-14 25 24.5|EA/SD     |13.600|26528.37900|    1.4705680000|                 |            |V1136 Sgr
V1176 Sgr |x|18 24 25.68|-21 34 20.1|RRAB      |12.000|21432.40800|    0.3548148000|                 |            |V1176 Sgr
V1177 Sgr |*|18 04 34.54|-31 34 42.2|EA/KE     |11.300|28672.53700|    0.9630890000|B9               |            |V1177 Sgr
V1178 Sgr |*|18 11 03.36|-30 31 00.3|EA/SD     |12.800|28456.22330|    2.4588070000|                 |            |V1178 Sgr
V1179 Sgr | |18 11 35.84|-33 52 16.3|EA        |12.600|27597.61900|    0.9096687000|                 |            |V1179 Sgr
V1182 Sgr |x|18 16 50.42|-27 47 50.6|RRAB      |12.500|28461.28400|    0.4408660000|                 |            |V1182 Sgr
V1184 Sgr |x|18 18 28.90|-30 29 53.2|EA/SD:    |13.200|28077.31900|    1.2988680000|                 |            |V1184 Sgr
V1188 Sgr |*|18 23 18.20|-32 25 30.3|RRAB      |12.860|35664.84400|    0.5813192000|                 |            |V1188 Sgr
V1190 Sgr |*|18 23 39.88|-35 51 57.4|EA/SD:    |13.800|28783.25800|    1.5000390000|                 |            |V1190 Sgr
V1191 Sgr |*|18 27 02.22|-32 33 53.5|EW        |13.800|35665.72400|    0.8007595000|                 |            |V1191 Sgr
V1193 Sgr | |18 29 40.48|-33 43 54.4|RRAB      |13.600|35657.86700|    0.5226010000|                 |            |V1193 Sgr
V1196 Sgr | |18 33 19.48|-30 36 53.0|EA        |13.400|28458.37000|    2.6052700000|                 |            |V1196 Sgr
V1201 Sgr | |18 37 46.16|-28 15 30.6|RRAB      |13.800|28341.36400|    0.6167053000|                 |            |V1201 Sgr
V1209 Sgr |*|18 44 27.22|-35 04 42.1|RRAB      |13.900|28016.27700|    0.4948003600|                 |            |V1209 Sgr
V1211 Sgr |*|18 47 01.31|-25 10 55.6|RRAB      |12.700|37131.62700|    0.8670470000|F0-F6            |            |V1211 Sgr
V1215 Sgr | |18 49 33.84|-31 04 13.8|RRAB      |14.100|26559.34100|    0.4889368000|                 |            |V1215 Sgr
V1239 Sgr | |19 04 34.57|-28 36 12.5|RRAB      |14.000|27622.24400|    0.6014427000|                 |            |V1239 Sgr
V1240 Sgr |x|19 04 46.47|-30 41 47.1|EA/SD:    |13.900|26565.46700|    0.5461250000|                 |            |V1240 Sgr
V1252 Sgr |x|19 10 36.26|-30 20 31.6|EA/SD     |11.400|26480.51600|    1.4356890000|                 |            |V1252 Sgr
V1276 Sgr |*|18 05 28.37|-32 53 24.6|EW/KW     |14.100|28037.39100|    0.3480939000|K3/K4            |            |V1276 Sgr
V1282 Sgr |*|18 13 34.69|-34 28 42.9|EA/SD     |11.900|35655.75000|    1.7580600000|                 |            |V1282 Sgr
V1283 Sgr | |18 13 47.41|-29 31 40.1|RRAB      |13.800|27987.64900|    0.6337000000|                 |            |V1283 Sgr
V1288 Sgr |x|18 20 25.38|-27 45 44.0|RRAB      |13.600|28077.37100|    0.5205100000|                 |            |V1288 Sgr
V1291 Sgr | |18 21 50.93|-31 36 14.3|RRAB      |13.900|35662.83100|    0.4702512000|                 |            |V1291 Sgr
V1307 Sgr | |18 31 18.62|-35 42 16.6|RRAB      |14.100|28660.48100|    0.5284353000|                 |            |V1307 Sgr
V1313 Sgr |x|18 39 35.35|-28 59 07.8|EA        |13.100|28693.44000|    2.1440800000|                 |            |V1313 Sgr
V1314 Sgr |*|18 40 46.55|-31 26 43.2|RRAB      |13.900|35660.83500|    0.6575000000|                 |            |V1314 Sgr
V1575 Sgr | |18 11 52.71|-29 25 39.6|EA/SD     |14.000|28458.29280|    0.8231878000|                 |            |V1575 Sgr
V1597 Sgr | |18 21 02.19|-33 48 29.8|RRAB      |13.900|28772.30230|    0.5345226000|                 |            |V1597 Sgr
V1598 Sgr | |18 21 07.83|-33 56 46.1|RRAB      |14.000|35666.79900|    0.4373159000|                 |            |V1598 Sgr
V1601 Sgr | |18 21 16.86|-27 34 29.5|EA        |14.000|28778.21900|    2.9634850000|                 |            |V1601 Sgr
V1602 Sgr |*|18 21 53.77|-32 47 09.1|EA/SD     |13.900|28815.32300|    1.7233166000|                 |            |V1602 Sgr
V1605 Sgr | |18 24 58.29|-35 12 50.4|RRAB      |13.800|35636.90200|    0.4395125000|                 |            |V1605 Sgr
V1613 Sgr | |18 29 11.80|-34 56 10.2|RRC       |14.100|35660.85800|    0.2991400000|                 |            |V1613 Sgr
V1626 Sgr | |18 33 32.66|-35 36 25.5|EA        |14.000|35668.78000|    2.4534779000|                 |            |V1626 Sgr
V1633 Sgr | |18 38 14.68|-32 35 44.4|RRAB      |13.900|35636.91600|    0.5199411000|                 |            |V1633 Sgr
V1635 Sgr | |18 39 39.13|-34 41 16.7|RRAB      |13.900|28815.33760|    0.4684874000|                 |            |V1635 Sgr
V1640 Sgr |*|18 43 35.47|-34 52 13.5|RRAB      |12.300|28780.33610|    0.3673598000|F6               |            |V1640 Sgr
V1643 Sgr |*|19 45 47.95|-40 56 18.5|EW:       |11.800|34482.42800|    0.6794560000|                 |            |V1643 Sgr
V1644 Sgr |*|20 09 14.93|-29 33 22.2|RRAB      |11.600|34235.36000|    0.6392800000|                 |            |V1644 Sgr
V1645 Sgr |x|20 20 44.48|-41 07 05.9|RRAB      |11.500|34234.36500|    0.5528380000|                 |            |V1645 Sgr
V1646 Sgr |x|20 23 08.75|-31 17 42.2|RRAB      |11.400|34324.39100|    0.5444430000|                 |            |V1646 Sgr
V1721 Sgr |*|17 58 43.20|-33 19 33.5|EA/DM     |10.400|28664.47500|    1.7885640000|F3V              |            |V1721 Sgr
V1723 Sgr |*|17 59 02.66|-27 29 20.1|EW/KW     |13.400|29479.42220|    0.2954532900|                 |            |V1723 Sgr
V1796 Sgr |x|18 04 48.53|-28 59 30.4|RRAB      |14.000|28745.48200|    0.6912320000|                 |            |V1796 Sgr
V1865 Sgr | |18 23 08.61|-34 00 25.7|EA/SD     |14.000|28694.48300|    1.1646030000|                 |            |V1865 Sgr
V1933 Sgr |x|18 45 10.13|-19 47 19.9|EA/SD     |12.500|24021.53000|    1.3503527000|                 |            |V1933 Sgr
V1958 Sgr |*|18 15 59.36|-22 28 15.4|EA/SD     |13.800|27981.38000|    1.8258500000|                 |            |V1958 Sgr
V1961 Sgr |x|18 17 53.03|-25 44 08.5|EA        |12.200|36838.49600|    0.2038504000|                 |            |V1961 Sgr
V1963 Sgr |*|18 19 22.49|-16 31 02.1|EA:       |12.300|           |    2.4210000000|F8/G0e           |            |V1963 Sgr
V1968 Sgr |x|18 21 23.09|-19 33 24.4|EA        |12.300|37820.66900|    0.5632499000|                 |            |V1968 Sgr
V1995 Sgr | |18 29 45.89|-20 50 30.9|EA/SD     |12.500|27254.36400|    1.7243356000|                 |            |V1995 Sgr
V2006 Sgr | |18 35 07.21|-27 07 08.1|EA/SD     |13.700|30553.30200|    1.7822530000|                 |            |V2006 Sgr
V2022 Sgr | |18 40 38.97|-25 22 50.0|CWB       |12.930|41922.50600|    1.5331710000|                 |            |V2022 Sgr
V2273 Sgr |x|20 24 14.68|-40 52 11.2|RRAB      |13.500|36807.41800|    0.5517000000|                 |            |V2273 Sgr
V2275 Sgr |x|20 26 17.48|-43 27 12.6|RRAB      |12.800|36807.37900|    0.5562000000|                 |            |V2275 Sgr
V2277 Sgr |x|20 26 15.37|-41 29 21.6|RRAB      |12.600|36807.35400|    0.5275000000|                 |            |V2277 Sgr
V2278 Sgr |x|20 26 38.86|-45 04 06.1|RRAB      |13.500|36725.47600|    0.4928220000|                 |            |V2278 Sgr
V2279 Sgr |x|20 27 03.36|-40 40 14.2|RRAB      |11.900|36807.41700|    0.4898700000|                 |            |V2279 Sgr
V2280 Sgr |x|20 27 37.70|-40 13 40.9|RRAB      |14.100|36807.47000|    0.5162000000|                 |            |V2280 Sgr
V2281 Sgr |x|20 28 12.29|-42 36 07.6|RRAB      |12.500|36807.23400|    0.4791400000|                 |            |V2281 Sgr
V2284 Sgr |*|18 05 20.83|-36 49 55.9|CEP       |14.000|31314.32000|    1.9419200000|                 |            |V2284 Sgr
V2338 Sgr | |18 23 48.65|-25 26 18.7|EA/SD:    |13.800|37199.54400|    2.8138000000|                 |            |V2338 Sgr
V2344 Sgr | |18 26 50.00|-23 25 38.2|RRAB      |13.400|26562.35300|    0.6449100000|                 |            |V2344 Sgr
V2374 Sgr | |18 38 09.58|-27 41 26.9|RRAB      |13.800|33858.32600|    0.6019890000|                 |            |V2374 Sgr
V2389 Sgr |*|18 49 24.28|-35 58 55.5|RRC       |14.000|28042.33000|    0.4132809800|                 |            |V2389 Sgr
V2396 Sgr | |18 59 00.88|-34 43 28.6|RRAB      |14.100|26155.22200|    0.4338704700|                 |            |V2396 Sgr
V2410 Sgr |x|19 16 07.34|-27 46 04.8|RRAB      |13.500|26571.30700|    0.6145073100|                 |            |V2410 Sgr
V2413 Sgr |*|19 19 55.84|-28 24 44.2|RRAB      |13.900|26570.23900|    0.4728999000|                 |            |V2413 Sgr
V2500 Sgr | |18 00 52.27|-28 50 54.4|EA/SD     |13.900|34539.34100|    1.5917800000|                 |            |V2500 Sgr
V2508 Sgr |*|18 12 54.36|-28 59 36.9|EB        |13.800|31560.47000|    0.6974599000|                 |            |V2508 Sgr
V2509 Sgr |*|18 15 49.92|-35 38 14.3|EB/KE     | 7.350|44387.77120|    1.0869739000|A0               |            |V2509 Sgr
V2511 Sgr | |18 16 23.45|-28 19 48.4|CEP       |13.600|32728.30600|    1.7247570000|                 |            |V2511 Sgr
V2529 Sgr |*|18 20 49.73|-27 42 51.8|EA/KE:    |13.900|28815.29500|    1.4727798000|                 |            |V2529 Sgr
V2533 Sgr | |18 21 26.69|-28 43 46.4|RRAB      |13.800|28458.28000|    0.5460633000|                 |            |V2533 Sgr
V2537 Sgr |x|18 23 00.27|-32 34 03.8|EA/SD     |12.300|29864.25600|    2.5581482000|                 |            |V2537 Sgr
V2538 Sgr | |18 23 11.95|-36 00 30.9|RRAB      |13.500|35661.83900|    0.4896893000|                 |            |V2538 Sgr
V2563 Sgr |*|18 29 39.41|-33 28 14.0|RRAB      |14.100|29926.30300|    0.5120484000|                 |            |V2563 Sgr
V2569 Sgr | |18 30 09.66|-25 34 03.8|RRAB      |14.100|33858.39200|    0.5654290000|                 |            |V2569 Sgr
V2575 Sgr |x|18 31 49.84|-28 01 22.1|EA/SD     |12.800|28783.23200|    0.8923404000|                 |            |V2575 Sgr
V2580 Sgr | |18 32 06.69|-23 54 35.5|RRAB      |14.000|33858.45600|    0.4421283000|                 |            |V2580 Sgr
V2582 Sgr | |18 32 34.89|-31 20 18.2|RRAB      |14.000|28778.25300|    0.4729523000|                 |            |V2582 Sgr
V2584 Sgr |*|18 33 04.85|-25 11 46.8|RRAB      |14.000|39272.73700|    0.5349020000|                 |            |V2584 Sgr
V2592 Sgr |*|18 35 28.33|-23 45 29.8|RRC       |13.600|36048.77500|    0.3428097000|                 |            |V2592 Sgr
V2594 Sgr |*|18 36 32.89|-30 16 36.4|RRAB      |13.800|29927.24300|    0.4137500000|                 |            |V2594 Sgr
V2596 Sgr | |18 36 35.37|-27 00 33.5|E/SD      |13.800|28783.24400|    1.6291350000|                 |            |V2596 Sgr
V2612 Sgr | |18 44 25.57|-29 35 59.6|RRAB      |13.800|28815.29100|    0.8336630000|                 |            |V2612 Sgr
V2616 Sgr |*|18 46 53.93|-29 05 01.7|EA/KE:    |12.900|28784.29300|    1.0406721000|                 |            |V2616 Sgr
V2617 Sgr |*|19 55 18.35|-23 58 12.8|EA/KE:    | 9.560|25501.34000|    0.9972646000|A0               |            |V2617 Sgr
V2686 Sgr | |18 13 30.61|-35 47 14.7|RRAB      |13.900|35661.81300|    0.4516100000|                 |            |V2686 Sgr
V3718 Sgr |*|18 39 04.61|-21 08 48.3|RRAB      |12.500|38563.74800|    0.4052151000|                 |            |V3718 Sgr
V3792 Sgr |*|18 08 54.05|-25 28 23.0|EB/DM     | 6.430|41879.34900|    2.2480820000|B5               |            |V3792 Sgr
V3794 Sgr |x|18 12 48.44|-21 54 39.2|EA        |12.000|40058.75200|    0.9541102000|                 |            |V3794 Sgr
V3809 Sgr | |18 22 25.83|-22 37 12.5|EW:       |13.500|           |    0.7800000000|                 |            |V3809 Sgr
V3819 Sgr |*|18 26 11.57|-21 13 19.2|RRAB      |12.500|31674.20000|    0.5246080000|                 |            |V3819 Sgr
V3863 Sgr |x|18 40 12.33|-24 31 05.5|EW/KW     |11.700|           |    0.3649130000|                 |            |V3863 Sgr
V3886 Sgr |*|19 56 06.05|-42 57 12.8|EA:       |11.500|28667.55000|    1.4076850000|                 |            |V3886 Sgr
V3894 Sgr |*|17 48 27.84|-26 58 29.8|EB/D      | 6.210|44569.77500|    2.6186200000|B3IVe            |            |V3894 Sgr
V4045 Sgr |x|18 11 58.16|-28 54 05.5|ACV       | 6.510|           |    2.8855000000|A0p(Si-Cr-Eu)    |            |V4045 Sgr
V4046 Sgr |*|18 14 10.45|-32 47 34.6|BY+UV     |10.320|           |    1.7010000000|K5e              |            |V4046 Sgr
V4048 Sgr |*|18 17 31.27|-20 08 40.2|EA/SD     |12.400|42543.53100|    1.4950902100|                 |            |V4048 Sgr
V4062 Sgr |x|19 38 56.22|-28 36 26.0|ACV       | 6.710|42620.09900|    1.7370000000|B9p(Si)          |            |V4062 Sgr
V4063 Sgr |x|19 42 37.13|-24 22 46.2|DSCT      | 7.900|           |    0.3610000000|F0               |            |V4063 Sgr
V4066 Sgr |*|18 33 09.59|-23 04 22.6|EA        |11.000|44025.73000|    2.1455080000|M5               |            |V4066 Sgr
V5143 Sgr |x|17 54 08.98|-29 47 39.4|EA        |13.490|52060.33385|    2.1386000000|                 |            |V5143 Sgr
V5158 Sgr |x|17 56 41.19|-29 40 05.5|EA        |13.700|52060.54289|    1.9533000000|                 |            |V5158 Sgr
V5164 Sgr |*|17 57 16.01|-29 35 30.5|EA        |13.260|52060.98942|    2.5195700000|                 |            |V5164 Sgr
V5505 Sgr |x|18 03 57.91|-29 56 59.9|DSCT      |11.100|           |    0.0849300000|                 |            |V5505 Sgr
V5533 Sgr |*|18 23 29.02|-30 15 30.4|LPB:      | 9.770|           |    0.8916400000|B8IV             |            |V5533 Sgr
V5535 Sgr |*|18 24 57.43|-30 24 42.6|EB        |10.650|51950.28800|    2.2517000000|A0               |            |V5535 Sgr
V5542 Sgr |x|18 43 23.85|-21 20 37.1|EA        |13.180|52875.94580|    1.6351000000|                 |            |V5542 Sgr
V5547 Sgr |x|19 30 57.37|-32 41 56.7|ELL:      | 7.390|           |    0.6920000000|F2               |            |V5547 Sgr
V5548 Sgr |x|19 36 01.65|-24 43 08.7|DSCTC:    | 5.820|           |    0.1134000000|A1m              |            |V5548 Sgr
V5552 Sgr |x|19 48 55.34|-37 12 12.2|EA        |12.860|52180.49700|    2.6954000000|                 |            |V5552 Sgr
V5553 Sgr |x|19 55 17.74|-44 00 38.9|EB        | 8.530|48404.16500|    2.6946600000|F5/F6V           |            |V5553 Sgr
V5563 Sgr |x|18 04 34.20|-24 22 00.6|EW:       | 9.600|52840.57700|    0.6172620000|B2Vne            |            |V5563 Sgr
V5566 Sgr |*|18 19 57.77|-22 07 14.9|EA        |11.950|52566.49400|    2.3799900000|M6:              |            |V5566 Sgr
V5568 Sgr |x|18 25 24.65|-22 11 16.5|EA        |12.900|53460.72500|    2.4887000000|                 |            |V5568 Sgr
V5571 Sgr |x|19 13 09.65|-32 16 00.5|EA        |11.760|52740.87500|    0.9488340000|                 |            |V5571 Sgr
V5572 Sgr |x|19 32 03.15|-28 12 44.8|EA        | 7.600|52055.77700|    1.4397900000|B8V              |            |V5572 Sgr
V5574 Sgr |x|19 45 44.62|-31 12 37.0|RRAB      |12.400|53827.89100|    0.5548400000|                 |            |V5574 Sgr
V5575 Sgr |x|19 54 19.41|-29 54 40.1|EB        |10.760|52529.56800|    0.8068100000|                 |            |V5575 Sgr
V5576 Sgr |x|20 02 22.51|-12 03 19.1|EA        |11.680|52513.52100|    1.1417700000|                 |            |V5576 Sgr
V5620 Sgr |x|17 58 39.54|-33 20 34.1|EW        |12.250|52405.79000|    0.4219050000|                 |            |V5620 Sgr
V5622 Sgr |x|17 59 40.90|-33 39 10.6|LPB       | 9.300|           |    1.4828000000|B5II/III         |            |V5622 Sgr
V5633 Sgr |*|18 08 07.53|-34 34 32.4|BCEP      | 9.340|           |    0.2106410000|B1II             |            |V5633 Sgr
V5640 Sgr |*|18 19 23.06|-28 28 56.5|DSCTC:    |11.200|           |    0.2240460000|F2               |            |V5640 Sgr
V5641 Sgr |*|18 26 10.35|-17 04 20.8|BCEP      |10.150|           |    0.2033620000|B                |            |V5641 Sgr
V5643 Sgr |x|18 33 23.99|-19 30 20.4|EA        | 9.530|52080.62650|    1.9186000000|B9IV/V           |            |V5643 Sgr
V5644 Sgr |*|18 39 51.92|-32 00 54.8|RR(B)     |11.950|           |    0.4612600000|                 |            |V5644 Sgr
V5648 Sgr |x|18 52 43.63|-16 00 48.0|EA        |12.000|53236.35800|    2.4981170000|                 |            |V5648 Sgr
V5653 Sgr |x|19 30 08.70|-25 36 03.2|EA        |12.160|53555.83300|    1.5169150000|                 |            |V5653 Sgr
V5654 Sgr |x|19 34 43.47|-24 22 14.4|EA        |11.470|53465.86600|    1.4986300000|                 |            |V5654 Sgr
V5658 Sgr |x|19 59 04.73|-37 50 28.2|EA        | 8.320|53820.88300|    1.7693700000|F3V              |            |V5658 Sgr
V5659 Sgr |*|19 59 26.74|-34 00 03.5|RRAB      |11.700|52027.50000|    0.3797209000|                 |            |V5659 Sgr
V5661 Sgr |x|20 02 27.88|-37 00 16.9|RRAB      |13.500|54308.70200|    0.5757750000|                 |            |V5661 Sgr
V5664 Sgr |*|20 07 49.36|-42 43 47.2|RRC:      |13.650|54276.72500|    0.3950500000|                 |            |V5664 Sgr
V5665 Sgr |x|20 13 49.11|-37 49 27.4|RRAB      |13.300|54229.91000|    0.5964400000|                 |            |V5665 Sgr
V5673 Sgr |x|17 47 29.77|-28 28 51.5|EW        |13.600|54631.69000|    0.4679210000|                 |            |V5673 Sgr
V5677 Sgr |x|17 50 48.58|-28 29 23.8|EA:       |13.100|54685.65800|    1.0620350000|                 |            |V5677 Sgr
V5696 Sgr |x|17 56 05.67|-27 54 25.7|EB        |12.700|54756.52900|    0.6248600000|                 |            |V5696 Sgr
V5704 Sgr |x|18 00 57.18|-33 00 09.3|EB        |12.950|54765.51100|    0.7428050000|                 |            |V5704 Sgr
V5826 Sgr |x|18 19 52.21|-29 16 32.8|RS        | 8.740|           |    0.5708320000|G5V              |            |V5826 Sgr
V5833 Sgr |*|18 48 06.96|-35 13 42.3|DSCT      |11.140|52796.71300|    0.1371452000|                 |            |V5833 Sgr
V5835 Sgr |x|19 01 29.87|-35 45 11.7|RRAB      |13.700|54250.67000|    0.6476700000|                 |            |V5835 Sgr
V5836 Sgr |x|19 03 29.09|-33 24 33.7|RRC       |14.100|53919.59000|    0.3194500000|                 |            |V5836 Sgr
V5837 Sgr |*|19 22 26.27|-22 34 42.5|DSCT      | 9.420|           |    0.1775066000|F0IV             |            |V5837 Sgr
V5839 Sgr |x|19 28 23.77|-18 52 22.1|RRC       |12.600|54762.57000|    0.3563500000|                 |            |V5839 Sgr
V5846 Sgr |*|19 54 57.68|-23 51 44.8|EW        | 9.150|51966.25800|    0.4055430000|F6V              |            |V5846 Sgr
V5970 Sgr |x|18 03 58.46|-30 10 53.8|EW        |12.400|57625.68600|    0.4912686000|                 |            |V5970 Sgr
V6104 Sgr |x|18 08 35.71|-16 27 17.9|EA        |11.450|57243.80400|    1.2793603000|                 |            |V6104 Sgr
V6183 Sgr |x|18 11 16.19|-35 16 24.6|EA        |12.650|58017.54100|    0.7933967000|                 |            |V6183 Sgr
V6241 Sgr |x|18 13 53.97|-35 46 04.9|EB        |13.900|58003.61680|    0.4383731000|                 |            |V6241 Sgr
V6277 Sgr |x|18 15 17.89|-16 56 00.7|EA        |11.600|58040.52300|    1.2675653000|                 |            |V6277 Sgr
V6295 Sgr |x|18 15 59.05|-35 02 55.3|EB        |13.000|57523.65100|    1.1754162000|                 |            |V6295 Sgr
V6393 Sgr |x|18 21 59.92|-23 54 26.1|EW        |13.200|57964.68540|    0.3980977000|                 |            |V6393 Sgr
V6410 Sgr |x|18 25 46.82|-36 44 12.0|EA        |12.700|57165.73850|    1.0148565000|                 |            |V6410 Sgr
V6415 Sgr |x|18 26 29.91|-24 49 18.0|CWB       |13.200|57973.64700|    1.0806722000|                 |            |V6415 Sgr
V6418 Sgr |x|18 26 48.06|-24 14 11.8|EW        |13.250|57872.71800|    0.6411943000|                 |            |V6418 Sgr
V6435 Sgr |x|18 29 21.85|-20 40 35.9|EW        |12.900|57957.69890|    0.3010271000|                 |            |V6435 Sgr
V6460 Sgr |x|18 37 20.18|-25 19 23.8|EB        |13.350|57624.53000|    0.4570574000|                 |            |V6460 Sgr
V6472 Sgr |x|18 42 54.17|-33 18 16.7|EW        |13.600|57905.82210|    0.3341826000|                 |            |V6472 Sgr
V6480 Sgr |x|18 50 02.14|-34 45 59.2|RRC       |13.800|57542.40300|    0.3106690000|                 |            |V6480 Sgr
V6500 Sgr |*|19 15 01.53|-15 58 35.5|EA        | 8.900|52917.49000|    0.8781140000|B9IV/V           |            |V6500 Sgr
V6510 Sgr |x|19 22 18.77|-30 33 13.9|EW        |11.270|54017.98000|    0.2094770000|                 |            |V6510 Sgr
V6515 Sgr |*|19 29 25.57|-39 23 44.1|RRAB      |14.050|57336.53600|    0.6145506000|                 |            |V6515 Sgr
V6516 Sgr |x|19 29 30.86|-42 58 35.4|EB        |13.600|57568.87800|    0.4958751000|                 |            |V6516 Sgr
V6521 Sgr |x|19 33 47.71|-36 38 47.2|RRAB      |13.300|57237.63030|    0.4318383000|                 |            |V6521 Sgr
V6534 Sgr |x|19 40 35.90|-42 13 16.5|EW        |12.150|57566.87830|    0.4278081000|                 |            |V6534 Sgr
V6537 Sgr |x|19 43 18.45|-38 26 05.8|EW        |12.600|56894.61390|    0.4476150000|                 |            |V6537 Sgr
V6541 Sgr |x|19 45 12.07|-37 10 16.5|EA        |13.160|57147.77500|    1.4334142000|                 |            |V6541 Sgr
V6543 Sgr |x|19 47 26.58|-24 39 41.1|EW        |13.380|57278.55590|    0.2033427000|                 |            |V6543 Sgr
V6544 Sgr |x|19 47 33.90|-35 47 45.0|DSCT      |11.170|57880.73210|    0.0632027000|                 |            |V6544 Sgr
V6548 Sgr |x|19 49 55.61|-37 11 36.8|RRAB      |10.920|57159.76400|    0.7392015000|A2II             |            |V6548 Sgr
V6550 Sgr |x|19 52 26.37|-23 06 36.5|EW        |13.750|57285.73730|    0.3215798000|                 |            |V6550 Sgr
V6569 Sgr |x|20 00 07.90|-41 35 26.0|EB        | 8.540|51876.46300|    0.6735180000|A9V              |            |V6569 Sgr
